,ID,CT_CS,CT_Temp,CT_RT,log_CT_CS,LMP,LMP_Model,Prediction,diff
179,9Cr-026,50.0,700.0,1338.3,3.912023005428146,25.401525682146755,25.078051684862412,2124.434952319049,-786.134952319049
180,9Cr-026,40.0,700.0,4065.3,3.6888794541139363,26.181359834319373,25.85581285729853,6472.449633795572,-2407.1496337955714
181,9Cr-026,30.0,700.0,14106.5,3.4011973816621555,27.186740916337715,26.726716557435413,27216.2260022907,-13109.7260022907
182,9Cr-026,40.0,725.0,728.5,3.6888794541139363,26.181359834319373,25.532774729147086,1782.171370117029,-1053.671370117029
183,9Cr-027,360.0,500.0,127.7,5.886104031450156,18.502577475123694,16.926985741382527,2983.5442860860276,-2855.8442860860278
184,9Cr-027,340.0,500.0,335.9,5.8289456176102075,18.702332668289202,17.410550608172404,4448.746352148564,-4112.846352148565
185,9Cr-027,320.0,500.0,1125.1,5.768320995793772,18.9142014418951,18.014957459651793,6796.174532164328,-5671.074532164328
186,9Cr-027,300.0,500.0,4275.4,5.703782474656201,19.139748371740826,18.682460331985872,10670.188641498156,-6394.788641498157
187,9Cr-027,290.0,500.0,8528.4,5.66988092298052,19.258226309609235,19.027722384673705,13523.239102527596,-4994.839102527596
188,9Cr-027,270.0,500.0,36376.8,5.598421958998375,19.50795855714204,19.75298710375606,22284.115507559567,14092.684492440436
189,9Cr-027,240.0,550.0,553.3,5.480638923341991,19.91958252391344,19.426103438296845,1357.1403090984456,-803.8403090984457
190,9Cr-027,220.0,550.0,2328.6,5.393627546352362,20.223666791661486,20.216520625031215,2359.052980036252,-30.45298003625203
191,9Cr-027,200.0,550.0,14063.2,5.298317366548036,20.556753420530573,21.205582450366737,4322.665869487544,9740.534130512457
192,9Cr-027,180.0,550.0,33713.2,5.19295685089021,20.924963605931787,21.686462847923842,8443.06484270316,25270.135157296838
193,9Cr-027,160.0,575.0,9466.9,5.075173815233827,21.33658757270319,21.94191058910501,3303.7752290095755,6163.124770990424
194,9Cr-027,150.0,575.0,13946.8,5.0106352940962555,21.562134502548915,22.16469352673908,4890.631095531094,9056.168904468905
195,9Cr-027,140.0,575.0,22600.6,4.941642422609304,21.803248337679292,22.442261185651585,7438.355299207073,15162.244700792926
196,9Cr-027,130.0,575.0,33418.4,4.867534450455582,22.06223824481917,22.66716104599359,11670.531533722611,21747.86846627739
197,9Cr-027,160.0,600.0,480.0,5.075173815233827,21.33658757270319,21.1068442941771,703.9389038668971,-223.93890386689714
198,9Cr-027,140.0,600.0,2608.8,4.941642422609304,21.803248337679292,22.122560006521002,1532.19941723734,1076.6005827626602
199,9Cr-027,120.0,600.0,7993.0,4.787491742782046,22.341968654721533,22.794365494411547,3760.5733249853392,4232.426675014661
200,9Cr-027,110.0,600.0,13918.4,4.700480365792417,22.64605292246958,23.1271528226879,6242.486238853464,7675.913761146536
201,9Cr-027,100.0,600.0,25556.2,4.605170185988092,22.979139551338662,23.491753768421415,10875.612749717764,14680.587250282237
202,9Cr-027,80.0,600.0,69601.4,4.382026634673881,23.75897370351128,24.092896608473577,39894.82064777062,29706.579352229375
203,9Cr-027,140.0,625.0,144.5,4.941642422609304,21.803248337679292,21.235979517049408,358.1348604240647,-213.6348604240647
204,9Cr-027,120.0,625.0,619.9,4.787491742782046,22.341968654721533,22.14615368402152,847.9843053917559,-228.08430539175595
205,9Cr-027,100.0,625.0,3665.1,4.605170185988092,22.979139551338662,23.25681163675293,2350.3876768749733,1314.7123231250266
206,9Cr-027,90.0,625.0,7667.7,4.499809670330265,23.34734973673988,23.718162312185047,4236.411557286612,3431.2884427133877
207,9Cr-027,110.0,650.0,195.8,4.700480365792417,22.64605292246958,22.282897942384935,342.3363384159476,-146.53633841594757
208,9Cr-027,100.0,650.0,391.7,4.605170185988092,22.979139551338662,22.733609574258928,571.4829602462606,-179.78296024626064
209,9Cr-027,80.0,650.0,2175.2,4.382026634673881,23.75897370351128,23.847956348479137,1896.9061890484215,278.2938109515783
210,9Cr-027,70.0,650.0,5058.5,4.248495242049359,24.22563446848738,24.39652344699213,3889.045971027132,1169.454028972868
211,9Cr-027,60.0,700.0,336.0,4.0943445622221,24.764354785529626,24.37497921578284,586.0247205271708,-250.02472052717076
212,9Cr-027,50.0,700.0,918.6,3.912023005428146,25.401525682146755,25.078996944132783,1456.2298960215978,-537.6298960215978
213,9Cr-027,40.0,700.0,3399.3,3.6888794541139363,26.181359834319373,25.99492876874684,4436.65015346238,-1037.3501534623801
214,9Cr-028,360.0,500.0,187.2,5.886104031450156,18.502577475123694,17.075546179482682,3249.447157031776,-3062.247157031776
215,9Cr-028,340.0,500.0,785.3,5.8289456176102075,18.702332668289202,17.792490302651352,4845.232649557464,-4059.932649557464
216,9Cr-028,320.0,500.0,2010.0,5.768320995793772,18.9142014418951,18.262402397987497,7401.87102809989,-5391.87102809989
217,9Cr-028,300.0,500.0,7762.6,5.703782474656201,19.139748371740826,18.93799370176415,11621.149485799586,-3858.5494857995855
