,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,V,B,N,O,S,Zr,Homo,Weighted_AN,log_CT_CS
9Cr-046_6,-1.60773372482364,0.0,0.0,0.0,0.0,0.0,0.0,6.637142723505404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4906347230330175,-22.232813351184742
9Cr-026_25,-0.6564434046411365,0.0,0.0,0.0,0.0,0.0,0.0,-0.7626553860443507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4906347230330175,-22.131829297120053
9Cr-035_29,-0.06147376968993849,0.0,0.0,0.0,0.0,0.0,0.0,-3.3710311082354307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3107722366326844,-56.8594873584305
9Cr-063_19,0.7032094540612616,0.0,0.0,0.0,4.812401344629987,0.0,0.0,-13.701395094231243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2282189428924132,0.0,0.0,0.0,0.0,0.0,0.0,3.6048224623779253,15.455429164957767
9Cr-072_7,-0.8305126626025829,0.0,0.0,0.0,1.3806725750147628,0.0,0.0,1.7169295918051768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2852551325408144,0.8570554772094277
9Cr-077_6,-0.6564434046411365,0.0,0.0,0.0,0.0,0.0,0.0,-0.7626553860443507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4906347230330175,-22.131829297120053
9Cr-044_6,0.7112180861844776,0.0,0.0,0.0,0.0,0.0,0.0,-2.947353849100805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4906347230330175,-23.64426910857769
9Cr-032_22,-0.06147376968993849,0.0,0.0,0.0,0.0,0.0,0.0,-3.3710311082354307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3107722366326844,-56.8594873584305
9Cr-067_5,1.6383047281084289,0.0,0.0,0.0,0.0,0.0,0.0,6.212446712607528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3107722366318686,0.0
9Cr-064_12,-1.60773372482364,0.0,0.0,0.0,0.0,0.0,0.0,6.637142723505404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4906347230330175,-22.232813351184742
