ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,AGS,TT Temp,YS,UTS,Elong,RA,CT Temp,CS,RT,EL,RA_2,MCR,0.1% CS,0.2% CS,0.5% CS,1.0% CS,2.0% CS,5.0% CS,TTC
5,85.351,0.15,9.993,0.421,0.117,0.206,1.505,1.325,0.53,0.049,0.014,0.001,0.003,,0.28,,,0.199,0.0087,0.0221,0.0032,0.0058,1,1150,700,,,7,,,,,,,650,137.895,4210,21.1,74.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,23.9,851,1006,23,64,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,150,797,927,20,67,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,250,769,881,19,60,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,350,741,838,17,57,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,450,691,782,22,66,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,550,567,646,27,73,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,600,472,552,39,84,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,650,397,463,48,87,,,,,,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,,,,,,650,188.227,1026,,88.1,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,,,,,,650,172.369,1860.3,18.4,84.1,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,,,,,,650,171.68,1827,29.6,87.2,,,,,,,,
6,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,1,1150,700,,,6,,,,,,,650,137.8952,4070.5,16.9,83,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,23.9,842,994,22,57,,,,,,,,,,,,,
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,200,769,891,19,58,,,,,,,,,,,,,
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,300,746,847,17,61,,,,,,,,,,,,,
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,400,709,809,18,54,,,,,,,,,,,,,
7,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,1,1150,700,,,6,,500,632,717,21,69,,,,,,,,,,,,,
