ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.1% CS,CT_0.15%CS,CT_0.2% CS,CT_0.25% CS,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC,Weighted_AN
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,500,290,8840,27,89,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,500,270,36035.8,21,85,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,500,250,123442.1,23,81,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,550,240,498.8,26,90,0.0081,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,550,220,2635.1,26,90,0.0016,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,550,200,10778.3,31,89,0.00028,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,550,180,35101.8,24,82,5.8e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,550,170,53387.5,21,80,3.4e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,550,160,93701.3,22,74,2.2e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,575,160,11680.6,22,82,0.00022,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,575,150,16538.1,25,84,0.00011,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,575,140,29159.7,20,81,0.00076,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,600,160,696,30,93,0.0055,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,600,140,2777.1,31,91,0.00098,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,600,120,14286.8,25,83,0.00017,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,600,110,24417.9,23,84,8.4e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,600,100,35639.1,19,80,4.5e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,600,80,92020.8,12,55,1.3e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,625,140,208.2,36,94,0.022,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,625,120,1214.6,34,92,0.0028,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,625,100,5340.3,35,90,0.00051,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,625,90,11233,28,88,0.00019,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,625,80,27018.1,27,82,7.4e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,625,70,41449.6,33,87,3.1e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,650,100,628.5,36,93,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,650,80,4472.3,32,88,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,650,70,12280.7,36,84,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,650,60,23321.1,11,51,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,650,50,59498.1,11,15,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,650,40,67319.9,17,60,2.1e-05,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,700,60,430.6,39,92,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,700,50,1299,30,86,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,700,40,3354.4,32,75,,,,,,,,,,,25.909010000000006
9Cr-024,89.126,0.1,8.53,0.4,0.38,0.12,,0.96,,0.076,0.01,0.015,0.022,,,,,0.21,,0.05,,0.001,,0,1045,780,,,10.1,700,30,9668.5,23,64,,,,,,,,,,,25.909010000000006
9Cr-025,89.139,0.09,8.51,0.45,0.34,0.2,,0.9,,0.076,0.02,0.001,0.026,,,,,0.205,,0.042,,0.001,,0,1050,760,,,9.3,500,360,239.2,21,84,,,,,,,,,,,25.909740000000003
