ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,V,B,N,S,Homo,Normal,Temper1,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,157,24,40,62,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,137,75.5,41,55,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,118,168,30,46,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,98,694.1,18,29,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,88,1498.9,18,36,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,69,10440.6,13,18,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,53,23997.8,12,18,,,,,,
AUS_004,66.1628,0.07,17.95,1.73,0.62,12.2,0.29,0.1,,0.72,0.012,0.024,0.04,0.019,0.032,0.0016,0.0216,0.007,0,,,5.3,750,37,64885,10,11,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,314,43.4,14,30,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,265,603.5,10,12,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,216,2174.6,10,18,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,196,3380.5,7,15,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,176,5315.3,7,12,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,157,7680.7,4,9,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,137,12322.6,5,9,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,118,20080.2,4,4,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,108,28547.6,4,6,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,600,78,153709.2,5,7,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,650,265,25.3,11,19,,,,,,
AUS_005,65.9046,0.04,17.61,1.73,0.82,12.5,0.33,0.06,,0.79,0.013,0.022,0.1,0.019,0.032,0.0004,0.02,0.009,0,1200,,4.4,650,216,167.8,10,13,,,,,,
